squirrel_id,grid,locx,locy,year,sex,survived,survived2,survived3,all_litters_fit,mast,social_survival,social_survival2,social_survival3,social_repro,age,std_soc_repro,std_soc_surv,std_soc_surv2,std_soc_surv3
1136,SU,10,2,1991,F,0,-1,-0.5,0,n,3.921936759,-0.869565217,1.526185771,3.360671937,1,0.733631288,0.015072981,0.413528231,0.159159169
1148,SU,15,6,1991,F,0,-1,-0.5,0,n,4.83201581,-1.055335968,1.888339921,3.055335968,3,0.357719872,0.826126358,-0.032735581,0.768924315
1164,SU,20,6.5,1991,F,0,-1,-0.5,1,n,2.812252964,-0.898221344,0.95701581,2.612648221,1,-0.187290854,-0.973866151,0.344689664,-0.799162043
1178,SU,5,10.5,1991,F,0,-1,-0.5,1,n,5.992094862,-0.727272727,2.632411067,3.279644269,2,0.633874861,1.859977241,0.755347322,2.02172965
1195,SU,6.5,1,1991,F,0,-1,-0.5,1,n,3.253952569,-0.735177866,1.259387352,1.883399209,5,-1.085098701,-0.580227868,0.736357372,-0.290053899
1203,SU,18,8,1991,F,0,-1,-0.5,1,n,3.363636364,-1.101778656,1.130928854,2.546442688,1,-0.268799154,-0.482478764,-0.144301535,-0.506341672
1235,SU,10.5,10.5,1991,F,0,-1,-0.5,0,n,4.701581028,-0.882411067,1.90958498,3.360671937,1,0.733631288,0.70988418,0.382669563,0.804694986
1254,SU,3.5,15.5,1991,F,1,0,0.5,0,n,4.882411067,-0.919960474,1.981225296,3.546442688,1,0.962341146,0.871038108,0.292467303,0.925317013
1259,SU,17,4,1991,F,1,0,0.5,1,n,3.373517787,-1.355731225,1.008893281,2.581027668,1,-0.226220191,-0.473672538,-0.754353661,-0.711815057
1266,SU,2.5,15,1991,F,1,0,0.5,1,n,5.038537549,-0.752964427,2.142786561,2.907114625,5,0.175238602,1.010176472,0.693629986,1.197340482
1271,SU,11,1,1991,F,1,0,0.5,2,n,2.805335968,-1.576086957,0.614624506,1.56916996,4,-1.471958994,-0.980030509,-1.283698503,-1.375652147
1278,SU,-0.5,4,1991,F,1,0,0.5,0,n,4.863636364,-0.89229249,1.985671937,3.427865613,4,0.816356131,0.854306279,0.358932126,0.932803898
